Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
4-February-2020,111.50,114.55,111.45,114.15,113.444247006583742765,507614,3232,57585888.00,153199,30.18,3.10,2.65
3-February-2020,109.80,113.45,108.25,111.05,110.885149469954959903,582592,5341,64600801.00,178957,30.72,5.20,1.25
1-February-2020,118.60,118.60,108.20,109.80,114.901732487339515595,1444455,8277,165970382.00,832497,57.63,10.40,-8.80
31-January-2020,118.00,118.65,114.90,117.15,116.925833369908707865,364544,2107,42624611.00,49561,13.60,3.75,-0.85
30-January-2020,120.70,120.70,115.70,117.05,117.717348759847904464,1136917,7191,133834855.00,759176,66.77,5.00,-3.65
29-January-2020,119.20,120.50,119.05,119.95,119.915457495083518198,524257,2037,62866518.00,171786,32.77,1.45,0.75
28-January-2020,119.80,120.60,117.85,119.25,119.624547231969802279,707868,3110,84678389.00,274934,38.84,2.75,-0.55
27-January-2020,119.40,120.70,118.30,119.40,119.316601717151329783,644090,3203,76850630.00,290597,45.12,2.40,0.00
24-January-2020,119.10,122.00,118.50,119.90,120.788495686787837170,745616,4289,90061835.00,297484,39.90,3.50,0.80
23-January-2020,117.10,119.90,117.00,119.05,118.702566703124653725,767093,7154,91055908.00,347724,45.33,2.90,1.95
22-January-2020,119.10,120.15,116.70,117.10,117.798157312953798157,445545,5180,52484380.00,108762,24.41,3.45,-2.00
21-January-2020,116.80,119.50,116.20,119.10,118.326397843041602820,988058,4795,116913344.00,136585,13.82,3.30,2.30
20-January-2020,126.90,126.90,117.50,118.15,120.373720956004580547,1055769,7116,127086843.00,248847,23.57,9.40,-8.75
17-January-2020,126.90,129.10,126.35,127.25,127.643566617536806078,665583,4996,84957388.00,116542,17.51,2.75,0.35
16-January-2020,126.05,127.40,125.25,126.00,126.003880421326081220,246365,2532,31042946.00,56749,23.03,2.15,-0.05
15-January-2020,126.20,128.00,125.10,126.65,126.561927150923013160,441543,5007,55882533.00,64062,14.51,2.90,0.45
14-January-2020,127.75,127.75,125.80,126.10,126.637488966984886799,554019,4246,70159575.00,114641,20.69,1.95,-1.65
13-January-2020,123.25,127.00,122.60,126.70,124.811721678814532843,1004566,6325,125381612.00,168525,16.78,4.40,3.45
10-January-2020,123.50,125.25,120.30,121.85,123.036379352250832583,621259,3031,76437458.00,93079,14.98,4.95,-1.65
9-January-2020,121.00,124.25,120.60,123.15,123.072639850153245950,708991,3861,87257394.00,166269,23.45,3.65,2.15
8-January-2020,113.95,120.65,112.75,120.15,117.389129037799594072,785855,4722,92250834.00,155465,19.78,7.90,6.20
7-January-2020,114.65,117.00,114.00,116.30,115.841173312736987062,471281,3011,54593744.00,85292,18.10,3.00,1.65
6-January-2020,117.00,117.60,111.60,112.65,114.257436096113153095,609157,3141,69600717.00,142897,23.46,6.00,-4.35
3-January-2020,121.45,122.05,118.00,118.50,119.997657191115760051,466534,1915,55982987.00,105385,22.59,4.05,-2.95
2-January-2020,118.25,122.20,118.10,120.95,120.804682413604520951,767980,3586,92775580.00,151431,19.72,4.10,2.70
1-January-2020,118.90,119.50,117.45,118.05,118.367504147412056247,241717,2216,28611438.00,35127,14.53,2.05,-0.85
31-December-2019,118.00,120.00,117.65,118.60,118.770000594322241519,302866,2323,35971395.00,54801,18.09,2.35,0.60
30-December-2019,118.50,120.00,117.15,118.75,118.486727776720725560,268041,3253,31759301.00,61779,23.05,2.85,0.25
27-December-2019,117.50,118.95,114.75,118.40,117.814968713676195248,574692,3882,67707320.00,137589,23.94,4.20,0.90
26-December-2019,115.40,115.55,114.00,114.45,114.690399757722592368,231140,1946,26509539.00,47273,20.45,1.55,-0.95
24-December-2019,116.10,116.40,114.55,114.95,115.341973235389616057,286423,1583,33036594.00,45176,15.77,1.85,-1.15
23-December-2019,116.25,117.25,114.90,115.65,116.057106524618215487,341292,1539,39609362.00,61111,17.91,2.35,-0.60
20-December-2019,115.65,117.25,115.45,116.60,116.618240712305937904,511241,2470,59620026.00,65349,12.78,1.80,0.95
19-December-2019,116.70,117.40,114.90,115.25,116.192735732208394082,437594,2002,50845244.00,70518,16.11,2.50,-1.45
18-December-2019,118.60,118.60,115.80,116.50,116.698923144426145966,508239,2262,59310944.00,53643,10.55,2.80,-2.10
17-December-2019,116.00,119.20,115.15,118.30,117.516678244530606873,653546,3202,76802555.00,115139,17.62,4.05,2.30
16-December-2019,117.30,117.30,115.45,116.00,116.083007311723518764,625981,2411,72665757.00,210078,33.56,1.85,-1.30
